url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,2738,1337
/awslabs/fullstack-solution-template-for-agentcore/pulls,353,49
/awslabs/fullstack-solution-template-for-agentcore/tree/main,295,163
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,267,178
/awslabs/fullstack-solution-template-for-agentcore/issues,224,49
/awslabs/fullstack-solution-template-for-agentcore/pull/63,188,79
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,144,73
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,97,58
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260302.png,92,50
/awslabs/fullstack-solution-template-for-agentcore/tree/main/docs,91,55
