url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1650,625
/awslabs/fullstack-solution-template-for-agentcore/pulls,231,24
/awslabs/fullstack-solution-template-for-agentcore/issues,200,22
/awslabs/fullstack-solution-template-for-agentcore/tree/main,87,51
/awslabs/fullstack-solution-template-for-agentcore/pull/138,86,8
/awslabs/fullstack-solution-template-for-agentcore/pull/141,86,8
/awslabs/fullstack-solution-template-for-agentcore/pull/120,76,7
/awslabs/fullstack-solution-template-for-agentcore/pull/139,75,7
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260403.png,68,20
/awslabs/fullstack-solution-template-for-agentcore/blob/main/Makefile,61,10
