referrer,views_total,views_unique
Google,1240,291
github.com,256,111
linkedin.com,200,92
statics.teams.cdn.office.net,198,53
t.co,119,51
copilotkit.ai,108,31
com.linkedin.android,75,27
youtube.com,69,10
Bing,42,14
chatgpt.com,28,4
