time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-10 00:00:00+00:00,39,39,398,72
2026-08-11 00:00:00+00:00,36,29,470,102
2026-08-12 00:00:00+00:00,88,36,412,91
2026-08-13 00:00:00+00:00,95,38,503,78
2026-08-14 00:00:00+00:00,66,31,532,102
2026-08-15 00:00:00+00:00,41,27,436,32
2026-08-16 00:00:00+00:00,34,23,434,48
2026-08-17 00:00:00+00:00,33,27,542,83
2026-08-18 00:00:00+00:00,82,35,510,100
2026-08-19 00:00:00+00:00,43,33,590,92
2026-08-20 00:00:00+00:00,69,45,548,94
2026-08-21 00:00:00+00:00,25,24,515,77
2026-08-22 00:00:00+00:00,28,19,406,37
2026-08-23 00:00:00+00:00,60,15,373,34
