url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1985,1031
/awslabs/fullstack-solution-template-for-agentcore/pulls,305,41
/awslabs/fullstack-solution-template-for-agentcore/tree/main,219,121
/awslabs/fullstack-solution-template-for-agentcore/issues,173,41
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,145,76
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,92,60
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-terraform,78,38
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260302.png,71,36
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,67,40
/awslabs/fullstack-solution-template-for-agentcore/commits/main,67,16
