url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1279,740
/awslabs/fullstack-solution-template-for-agentcore/pulls,158,27
/awslabs/fullstack-solution-template-for-agentcore/issues,156,25
/awslabs/fullstack-solution-template-for-agentcore/pull/119,71,6
/awslabs/fullstack-solution-template-for-agentcore/pull/120,68,6
/awslabs/fullstack-solution-template-for-agentcore/tree/main,67,47
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260403.png,66,25
/awslabs/fullstack-solution-template-for-agentcore/pull/127,58,6
/awslabs/fullstack-solution-template-for-agentcore/actions,57,10
/awslabs/fullstack-solution-template-for-agentcore/blob/main/.clinerules,50,9
