url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,2626,1569
/awslabs/fullstack-solution-template-for-agentcore/tree/main,273,139
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,224,125
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,156,109
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,148,90
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,131,88
/awslabs/fullstack-solution-template-for-agentcore/pulls,128,37
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20251201.png,124,80
/awslabs/fullstack-solution-template-for-agentcore/tree/main/gateway,106,74
/awslabs/fullstack-solution-template-for-agentcore/tree/main/vibe-context,98,72
