referrer,views_total,views_unique
Google,344,148
github.com,230,84
aws.amazon.com,182,47
Bing,72,17
teams.public.onecdn.static.microsoft,59,21
youtube.com,25,3
linkedin.com,21,6
copilotkit.ai,15,7
ecosia.org,12,1
claude.ai,9,2
