time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-27 00:00:00+00:00,44,32,295,76
2026-07-28 00:00:00+00:00,65,32,314,84
2026-07-29 00:00:00+00:00,29,24,266,64
2026-07-30 00:00:00+00:00,120,48,344,75
2026-07-31 00:00:00+00:00,32,25,370,80
2026-08-01 00:00:00+00:00,46,24,345,25
2026-08-02 00:00:00+00:00,26,17,292,31
2026-08-03 00:00:00+00:00,54,28,493,88
2026-08-04 00:00:00+00:00,124,97,510,130
2026-08-05 00:00:00+00:00,35,26,434,91
2026-08-06 00:00:00+00:00,32,23,449,96
2026-08-07 00:00:00+00:00,42,37,399,69
2026-08-08 00:00:00+00:00,29,25,307,32
2026-08-09 00:00:00+00:00,30,24,350,31
