url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,3521,1947
/awslabs/fullstack-solution-template-for-agentcore/pulls,308,49
/awslabs/fullstack-solution-template-for-agentcore/tree/main,303,162
/awslabs/fullstack-solution-template-for-agentcore/issues,194,51
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,172,109
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,148,79
/awslabs/fullstack-solution-template-for-agentcore/pull/63,128,43
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260302.png,126,74
/awslabs/fullstack-solution-template-for-agentcore/tree/main/docs,108,65
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,108,63
