url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,2400,1227
/awslabs/fullstack-solution-template-for-agentcore/pulls,347,47
/awslabs/fullstack-solution-template-for-agentcore/tree/main,287,154
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,268,175
/awslabs/fullstack-solution-template-for-agentcore/issues,211,45
/awslabs/fullstack-solution-template-for-agentcore/pull/63,191,80
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,138,74
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260302.png,106,59
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,97,51
/awslabs/fullstack-solution-template-for-agentcore/tree/main/docs,85,53
