url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1201,593
/awslabs/fullstack-solution-template-for-agentcore/issues,153,29
/awslabs/fullstack-solution-template-for-agentcore/pulls,145,22
/awslabs/fullstack-solution-template-for-agentcore/tree/main,100,58
/awslabs/fullstack-solution-template-for-agentcore/pull/120,64,5
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260403.png,57,17
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,53,32
/awslabs/fullstack-solution-template-for-agentcore/pull/135,51,4
/awslabs/fullstack-solution-template-for-agentcore/actions,50,8
/awslabs/fullstack-solution-template-for-agentcore/commits,48,3
