url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,2192,1159
/awslabs/fullstack-solution-template-for-agentcore/tree/main,247,105
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,195,80
/awslabs/fullstack-solution-template-for-agentcore/pulls,191,35
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,177,80
/awslabs/fullstack-solution-template-for-agentcore/issues,117,24
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,111,62
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,101,56
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20251201.png,100,54
/awslabs/fullstack-solution-template-for-agentcore/tree/main/docs,80,42
