url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1420,740
/awslabs/fullstack-solution-template-for-agentcore/issues,150,27
/awslabs/fullstack-solution-template-for-agentcore/pulls,141,28
/awslabs/fullstack-solution-template-for-agentcore/tree/main,89,53
/awslabs/fullstack-solution-template-for-agentcore/pull/120,75,6
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,68,40
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260403.png,67,21
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,64,40
/awslabs/fullstack-solution-template-for-agentcore/actions,61,11
/awslabs/fullstack-solution-template-for-agentcore/activity,55,8
