time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-16 00:00:00+00:00,34,23,434,48
2026-08-17 00:00:00+00:00,33,27,542,83
2026-08-18 00:00:00+00:00,82,35,510,100
2026-08-19 00:00:00+00:00,43,33,590,92
2026-08-20 00:00:00+00:00,69,45,548,94
2026-08-21 00:00:00+00:00,25,24,515,77
2026-08-22 00:00:00+00:00,28,19,406,37
2026-08-23 00:00:00+00:00,60,15,373,34
2026-08-24 00:00:00+00:00,13,11,438,88
2026-08-25 00:00:00+00:00,17,16,486,83
2026-08-26 00:00:00+00:00,63,15,764,108
2026-08-27 00:00:00+00:00,124,38,543,89
2026-08-28 00:00:00+00:00,23,19,476,73
2026-08-29 00:00:00+00:00,34,27,473,37
