url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1409,744
/awslabs/fullstack-solution-template-for-agentcore/pulls,155,33
/awslabs/fullstack-solution-template-for-agentcore/issues,153,33
/awslabs/fullstack-solution-template-for-agentcore/tree/main,89,54
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,72,42
/awslabs/fullstack-solution-template-for-agentcore/pull/120,71,5
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,65,40
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260403.png,65,21
/awslabs/fullstack-solution-template-for-agentcore/actions,65,10
/awslabs/fullstack-solution-template-for-agentcore/pull/119,59,5
