url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1207,591
/awslabs/fullstack-solution-template-for-agentcore/issues,185,23
/awslabs/fullstack-solution-template-for-agentcore/pulls,181,19
/awslabs/fullstack-solution-template-for-agentcore/tree/main,74,45
/awslabs/fullstack-solution-template-for-agentcore/pull/120,60,5
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260403.png,58,20
/awslabs/fullstack-solution-template-for-agentcore/commits,48,5
/awslabs/fullstack-solution-template-for-agentcore/actions,47,7
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,45,30
/awslabs/fullstack-solution-template-for-agentcore/commit/4f5ef1a5bde1e44b23465aad04fe57f659395d40,45,6
