url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1492,826
/awslabs/fullstack-solution-template-for-agentcore/issues,155,28
/awslabs/fullstack-solution-template-for-agentcore/pulls,143,26
/awslabs/fullstack-solution-template-for-agentcore/tree/main,88,59
/awslabs/fullstack-solution-template-for-agentcore/pull/119,77,6
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260403.png,73,28
/awslabs/fullstack-solution-template-for-agentcore/pull/120,72,6
/awslabs/fullstack-solution-template-for-agentcore/pull/127,62,5
/awslabs/fullstack-solution-template-for-agentcore/actions,60,10
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,56,40
