time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-17 00:00:00+00:00,101,43,551,132
2026-04-18 00:00:00+00:00,95,34,300,38
2026-04-19 00:00:00+00:00,84,36,338,46
2026-04-20 00:00:00+00:00,112,39,477,119
2026-04-21 00:00:00+00:00,102,45,531,147
2026-04-22 00:00:00+00:00,271,78,535,129
2026-04-23 00:00:00+00:00,248,72,517,109
2026-04-24 00:00:00+00:00,133,66,311,105
2026-04-25 00:00:00+00:00,262,60,303,32
2026-04-26 00:00:00+00:00,27,16,320,46
2026-04-27 00:00:00+00:00,66,36,469,97
2026-04-28 00:00:00+00:00,62,37,424,101
2026-04-29 00:00:00+00:00,117,46,404,89
2026-04-30 00:00:00+00:00,47,23,300,103
