url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,2751,1610
/awslabs/fullstack-solution-template-for-agentcore/tree/main,264,132
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,228,123
/awslabs/fullstack-solution-template-for-agentcore/pulls,164,37
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,158,106
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,154,94
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,129,87
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20251201.png,126,82
/awslabs/fullstack-solution-template-for-agentcore/tree/main/gateway,112,80
/awslabs/fullstack-solution-template-for-agentcore/tree/main/vibe-context,97,73
