url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1615,840
/awslabs/fullstack-solution-template-for-agentcore/pulls,233,42
/awslabs/fullstack-solution-template-for-agentcore/issues,209,39
/awslabs/fullstack-solution-template-for-agentcore/tree/main,169,91
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,96,67
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,84,48
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,83,40
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260403.png,73,34
/awslabs/fullstack-solution-template-for-agentcore/blob/main/patterns/strands-single-agent/basic_agent.py,73,21
/awslabs/fullstack-solution-template-for-agentcore/blame/main/docs/architecture-diagram,73,1
