referrer,views_total,views_unique
Google,469,176
github.com,217,88
aws.amazon.com,89,35
statics.teams.cdn.office.net,88,25
mobius-wiki.bt.com,25,1
Bing,24,9
copilotkit.ai,23,5
linkedin.com,19,17
teams.public.onecdn.static.microsoft,13,9
pms-confluence2.banadev.com,12,4
