time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,84,31,421,98
2026-06-25 00:00:00+00:00,44,25,513,123
2026-06-26 00:00:00+00:00,25,19,449,121
2026-06-27 00:00:00+00:00,40,21,415,41
2026-06-28 00:00:00+00:00,40,22,249,41
2026-06-29 00:00:00+00:00,35,26,338,83
2026-06-30 00:00:00+00:00,106,48,498,117
2026-07-01 00:00:00+00:00,108,64,607,169
2026-07-02 00:00:00+00:00,43,35,478,114
2026-07-03 00:00:00+00:00,45,25,467,103
2026-07-04 00:00:00+00:00,38,20,317,50
2026-07-05 00:00:00+00:00,36,22,274,44
2026-07-06 00:00:00+00:00,88,31,444,84
2026-07-07 00:00:00+00:00,130,51,471,88
