url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,2776,1610
/awslabs/fullstack-solution-template-for-agentcore/tree/main,266,135
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,237,124
/awslabs/fullstack-solution-template-for-agentcore/pulls,175,38
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,163,100
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,160,108
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20251201.png,130,84
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,128,86
/awslabs/fullstack-solution-template-for-agentcore/tree/main/gateway,110,80
/awslabs/fullstack-solution-template-for-agentcore/tree/main/vibe-context,97,72
