referrer,views_total,views_unique
Google,1275,334
linkedin.com,480,259
github.com,391,154
statics.teams.cdn.office.net,248,73
com.linkedin.android,164,100
youtube.com,78,11
copilotkit.ai,72,16
lm.facebook.com,65,60
chatgpt.com,54,6
l.facebook.com,47,33
