url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1574,816
/awslabs/fullstack-solution-template-for-agentcore/pulls,241,37
/awslabs/fullstack-solution-template-for-agentcore/issues,202,33
/awslabs/fullstack-solution-template-for-agentcore/tree/main,166,91
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,113,76
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,82,40
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,76,45
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,75,46
/awslabs/fullstack-solution-template-for-agentcore/pull/63,73,34
/awslabs/fullstack-solution-template-for-agentcore/blame/main/docs/architecture-diagram,73,1
