url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,2268,1164
/awslabs/fullstack-solution-template-for-agentcore/pulls,357,45
/awslabs/fullstack-solution-template-for-agentcore/tree/main,272,145
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,269,176
/awslabs/fullstack-solution-template-for-agentcore/pull/63,198,85
/awslabs/fullstack-solution-template-for-agentcore/issues,184,40
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,137,73
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260302.png,105,58
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,95,49
/awslabs/fullstack-solution-template-for-agentcore/tree/main/docs,82,51
