url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1507,834
/awslabs/fullstack-solution-template-for-agentcore/issues,155,31
/awslabs/fullstack-solution-template-for-agentcore/pulls,153,30
/awslabs/fullstack-solution-template-for-agentcore/tree/main,87,54
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260403.png,75,26
/awslabs/fullstack-solution-template-for-agentcore/pull/120,73,6
/awslabs/fullstack-solution-template-for-agentcore/pull/119,72,6
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,68,38
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,67,42
/awslabs/fullstack-solution-template-for-agentcore/actions,63,10
