url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1194,560
/awslabs/fullstack-solution-template-for-agentcore/pulls,180,16
/awslabs/fullstack-solution-template-for-agentcore/issues,160,18
/awslabs/fullstack-solution-template-for-agentcore/tree/main,87,47
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260403.png,58,22
/awslabs/fullstack-solution-template-for-agentcore/pull/120,54,4
/awslabs/fullstack-solution-template-for-agentcore/commits,50,5
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,47,30
/awslabs/fullstack-solution-template-for-agentcore/commit/c9840c2bf7d9535637c15bc011ab192bd01edaba,45,14
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,41,25
