time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-05 00:00:00+00:00,60,30,403,74
2026-05-06 00:00:00+00:00,63,34,281,68
2026-05-07 00:00:00+00:00,80,30,338,95
2026-05-08 00:00:00+00:00,167,59,443,96
2026-05-09 00:00:00+00:00,51,24,230,39
2026-05-10 00:00:00+00:00,31,17,322,35
2026-05-11 00:00:00+00:00,42,25,323,97
2026-05-12 00:00:00+00:00,72,34,318,79
2026-05-13 00:00:00+00:00,156,49,326,74
2026-05-14 00:00:00+00:00,98,44,324,80
2026-05-15 00:00:00+00:00,30,23,332,80
2026-05-16 00:00:00+00:00,37,21,190,26
2026-05-17 00:00:00+00:00,175,23,187,32
2026-05-18 00:00:00+00:00,294,24,317,77
